case_id,gold_doc,retrieved,hit_at_3,topic
RAG-001,DOC-001,"DOC-001,DOC-007,DOC-013",True,agent
RAG-002,DOC-002,"DOC-002,DOC-008,DOC-014",True,policy
RAG-003,DOC-003,"DOC-003,DOC-009,DOC-015",True,rag
RAG-004,DOC-004,"DOC-004,DOC-010,DOC-016",True,benchmark
RAG-005,DOC-005,"DOC-005,DOC-011,DOC-017",True,prompt
RAG-006,DOC-006,"DOC-006,DOC-012,DOC-018",True,transformer
RAG-007,DOC-007,"DOC-001,DOC-007,DOC-013",True,agent
RAG-008,DOC-008,"DOC-002,DOC-008,DOC-014",True,policy
RAG-009,DOC-009,"DOC-003,DOC-009,DOC-015",True,rag
RAG-010,DOC-010,"DOC-004,DOC-010,DOC-016",True,benchmark
RAG-011,DOC-011,"DOC-005,DOC-011,DOC-017",True,prompt
RAG-012,DOC-012,"DOC-006,DOC-012,DOC-018",True,transformer
RAG-013,DOC-013,"DOC-001,DOC-007,DOC-013",True,agent
RAG-014,DOC-014,"DOC-002,DOC-008,DOC-014",True,policy
RAG-015,DOC-015,"DOC-003,DOC-009,DOC-015",True,rag
RAG-016,DOC-016,"DOC-004,DOC-010,DOC-016",True,benchmark
RAG-017,DOC-017,"DOC-005,DOC-011,DOC-017",True,prompt
RAG-018,DOC-018,"DOC-006,DOC-012,DOC-018",True,transformer
RAG-019,DOC-019,"DOC-001,DOC-007,DOC-013",False,agent
RAG-020,DOC-020,"DOC-002,DOC-008,DOC-014",False,policy
RAG-021,DOC-021,"DOC-003,DOC-009,DOC-015",False,rag
RAG-022,DOC-022,"DOC-004,DOC-010,DOC-016",False,benchmark
RAG-023,DOC-023,"DOC-005,DOC-011,DOC-017",False,prompt
RAG-024,DOC-024,"DOC-006,DOC-012,DOC-018",False,transformer
